lambda,test_mse
4,0.449135303
4,0.153172553
4,0.269837767
4,0.121060394
4,0.117049955
4,0.129754528
4,0.128032982
4,0.155259341
4,0.108722322
4,0.61070776
4,0.1566291
4,0.194005683
4,0.550983369
4,0.288642585
4,0.108778588
4,0.552663326
4,0.340643048
4,0.178230852
4,0.391031981
4,0.121899955
4,0.220488146
4,0.330871046
4,0.112076275
4,0.191934526
4,0.268258333
5,0.254316241
5,0.57101351
5,0.241398275
5,0.193908989
5,0.854218662
5,0.220240176
5,0.119925343
5,0.535197079
5,0.291154772
5,0.380958498
5,0.113921531
5,0.2765944
5,0.486020356
5,0.215484753
5,0.157947794
5,0.122476168
5,0.555574059
5,0.3416605
5,0.40347445
5,0.312400609
5,0.257454932
5,0.475253016
5,0.436995983
5,0.143774956
5,0.294651985
5,0.423591167
5,0.146126643
5,0.266490072
5,0.122091047
5,0.11873208
5,0.127216205
5,0.129499793
5,0.156015381
5,0.110710077
5,0.602107346
5,0.162954479
5,0.196333513
5,0.546318531
5,0.296366513
5,0.109916963
5,0.550750494
5,0.335154742
5,0.180282146
5,0.379397362
5,0.124028355
5,0.226930365
5,0.329840362
5,0.11155729
5,0.193371475
5,0.272971034
6,0.23209317
6,0.534344137
6,0.228915691
6,0.200013712
6,0.779060185
6,0.198807061
6,0.118046023
6,0.499980599
6,0.26739794
6,0.377599359
6,0.113820836
6,0.259937555
6,0.471022129
6,0.227719381
6,0.155015722
6,0.124810286
6,0.548964441
6,0.326834112
6,0.384303331
6,0.285212368
6,0.238842368
6,0.443994135
6,0.414915204
6,0.147392631
6,0.281482339
6,0.405685604
6,0.149075985
6,0.256865859
6,0.124929197
6,0.117755674
6,0.12878637
6,0.131025866
6,0.146245435
6,0.10876894
6,0.554233134
6,0.164764628
6,0.175342143
6,0.499475688
6,0.301346451
6,0.111484036
6,0.486970544
6,0.337490201
6,0.174135372
6,0.372766435
6,0.124111563
6,0.203852117
6,0.314595968
6,0.116554663
6,0.197279274
6,0.243144736
7,0.205585971
7,0.556140244
7,0.220916927
7,0.194242865
7,0.835410357
7,0.209941834
7,0.116550237
7,0.520576835
7,0.268862098
7,0.378134102
7,0.111131914
7,0.258565992
7,0.463613093
7,0.217330977
7,0.153849751
7,0.123622976
7,0.546685815
7,0.334098667
7,0.398242861
7,0.280976444
7,0.234594926
7,0.460100859
7,0.383624136
7,0.139989749
7,0.277885348
7,0.41988489
7,0.14586626
7,0.26504463
7,0.122669972
7,0.117949747
7,0.129196286
7,0.130066991
7,0.143088475
7,0.107285641
7,0.593643725
7,0.158350199
7,0.184519887
7,0.529404938
7,0.301464349
7,0.109290965
7,0.502061546
7,0.340827167
7,0.164783746
7,0.401297063
7,0.12209972
7,0.196115986
7,0.316165864
7,0.112761512
7,0.191458032
7,0.247800723
8,0.206670433
8,0.527153194
8,0.219358131
8,0.198723197
8,0.793921888
8,0.203570798
8,0.121848583
8,0.483556956
8,0.248445511
8,0.361824542
8,0.114379533
8,0.252249509
8,0.463778555
8,0.221793219
8,0.15512383
8,0.12371698
8,0.511715889
8,0.322107345
8,0.385099351
8,0.265503377
8,0.228020906
8,0.422950804
8,0.380096614
8,0.145106509
8,0.255390614
8,0.383446395
8,0.155075744
8,0.240063965
8,0.120450318
8,0.124982014
8,0.125026882
8,0.132562816
8,0.143599749
8,0.110673591
8,0.551256239
8,0.16600363
8,0.17296946
8,0.492606223
8,0.310080141
8,0.112785399
8,0.494982779
8,0.341425478
8,0.159727275
8,0.370906383
8,0.126606986
8,0.196378678
8,0.29638496
8,0.11269287
8,0.196800902
8,0.242943347
9,0.222323254
9,0.554270327
9,0.229715422
9,0.197664276
9,0.855953038
9,0.220474914
9,0.118088312
9,0.526010633
9,0.27802363
9,0.387199461
9,0.113962874
9,0.255350083
9,0.465545386
9,0.221552104
9,0.154663891
9,0.11746119
9,0.561038613
9,0.333595097
9,0.393478304
9,0.31431216
9,0.238376409
9,0.461323261
9,0.461966097
9,0.144179195
9,0.311025023
9,0.423889637
9,0.152722865
9,0.261410594
9,0.117331482
9,0.118380606
9,0.126048878
9,0.131338239
9,0.150464669
9,0.110169195
9,0.598691046
9,0.164117262
9,0.189684957
9,0.535829306
9,0.303141057
9,0.111155823
9,0.523925424
9,0.339674741
9,0.171130747
9,0.398162067
9,0.124077849
9,0.203250483
9,0.319515109
9,0.112623483
9,0.194232076
9,0.255544066
10,0.240218595
10,0.594283044
10,0.242791742
10,0.197212338
10,0.870667934
10,0.205428794
10,0.110664502
10,0.542511046
10,0.288543344
10,0.40496552
10,0.111219369
