,method,gamma,interv_gene,test_mse
152,anchor regression,1,ENSG00000100804,0.10086782047188543
153,anchor regression,1,ENSG00000204152,0.7412106670299312
154,anchor regression,1,ENSG00000168538,0.1622764288317316
155,anchor regression,1,ENSG00000197734,0.12998070232113423
156,anchor regression,1,ENSG00000152253,0.774263833431299
157,anchor regression,1,ENSG00000106263,0.17390811113955604
158,anchor regression,1,ENSG00000120948,0.4706952252187937
159,anchor regression,1,ENSG00000169750,0.15462816620977946
160,anchor regression,1,ENSG00000119718,0.11048514613829136
161,anchor regression,1,ENSG00000105618,0.15551672671044559
162,anchor regression,1,ENSG00000145191,0.10753979179829924
163,anchor regression,1,ENSG00000072756,0.18400021766963437
164,anchor regression,1,ENSG00000070785,0.2576333356629637
165,anchor regression,1,ENSG00000160075,0.11426661491686917
166,anchor regression,1,ENSG00000075856,0.28144854441106687
167,anchor regression,1,ENSG00000131931,0.340823333605643
168,anchor regression,1,ENSG00000174243,0.7677744530846401
169,anchor regression,1,ENSG00000117360,0.6939609782341001
170,anchor regression,1,ENSG00000100949,0.10010677811802265
171,anchor regression,1,ENSG00000175792,0.34145548457426156
172,anchor regression,1,ENSG00000181029,0.5485004001171945
173,anchor regression,1,ENSG00000146007,0.2824400498501645
174,anchor regression,1,ENSG00000124207,0.26623135006632265
175,anchor regression,1,ENSG00000174780,0.4033369987938605
176,anchor regression,1,ENSG00000197265,0.11675002637454891
177,anchor regression,1,ENSG00000182446,0.17814257552619517
178,anchor regression,1,ENSG00000169727,0.10173286627409409
179,anchor regression,1,ENSG00000110713,0.34255372996910105
180,anchor regression,1,ENSG00000137955,0.7972576606476836
181,anchor regression,1,ENSG00000142731,0.7100838064080881
182,anchor regression,1,ENSG00000189091,0.1106724119884767
183,anchor regression,1,ENSG00000111581,0.32434081466408526
184,anchor regression,1,ENSG00000198952,0.12199462470614074
185,anchor regression,1,ENSG00000156603,0.8237592788735885
186,anchor regression,1,ENSG00000108424,0.37760548183987747
187,anchor regression,1,ENSG00000105258,0.3026747375947169
188,anchor regression,1,ENSG00000119414,0.14102199087336423
189,anchor regression,1,ENSG00000163754,0.0941996941404527
190,anchor regression,1,ENSG00000112118,0.1624696127681048
191,anchor regression,1,ENSG00000113141,0.33660530348462786
192,anchor regression,1,ENSG00000108064,0.42152485559878083
193,anchor regression,1,ENSG00000198258,0.5290215437588524
194,anchor regression,1,ENSG00000197780,0.2635182193539969
195,anchor regression,1,ENSG00000083896,0.26645675107564504
196,anchor regression,1,ENSG00000183479,0.50059167050719
197,anchor regression,1,ENSG00000197111,0.14361355040298962
198,anchor regression,1,ENSG00000144034,0.5588924253289637
199,anchor regression,1,ENSG00000268043,0.09300340530966977
200,DRIG,2,ENSG00000205609,0.13123919542571327
201,DRIG,2,ENSG00000205571,0.2620768179383606
202,DRIG,2,ENSG00000100804,0.10284452183411043
203,DRIG,2,ENSG00000204152,0.7044987928210534
204,DRIG,2,ENSG00000168538,0.16659055443817938
205,DRIG,2,ENSG00000197734,0.13094399697607043
206,DRIG,2,ENSG00000152253,0.7290745108039359
207,DRIG,2,ENSG00000106263,0.17411074641351346
208,DRIG,2,ENSG00000120948,0.4535374562666747
209,DRIG,2,ENSG00000169750,0.14899687145750937
210,DRIG,2,ENSG00000119718,0.11164495918148583
211,DRIG,2,ENSG00000105618,0.1579144403672788
212,DRIG,2,ENSG00000145191,0.1055021214018527
213,DRIG,2,ENSG00000072756,0.18804784404685623
214,DRIG,2,ENSG00000070785,0.23289053396277648
215,DRIG,2,ENSG00000160075,0.11241393620691398
216,DRIG,2,ENSG00000075856,0.24786947595833755
217,DRIG,2,ENSG00000131931,0.3098209520947402
218,DRIG,2,ENSG00000174243,0.7485138093109368
219,DRIG,2,ENSG00000117360,0.6641973133323913
220,DRIG,2,ENSG00000100949,0.10162138607619844
221,DRIG,2,ENSG00000175792,0.336114139507436
222,DRIG,2,ENSG00000181029,0.5257675237800257
223,DRIG,2,ENSG00000146007,0.27366118296870046
224,DRIG,2,ENSG00000124207,0.233735796763445
225,DRIG,2,ENSG00000174780,0.38754163491673616
226,DRIG,2,ENSG00000197265,0.11670750356335555
227,DRIG,2,ENSG00000182446,0.17828780377676395
228,DRIG,2,ENSG00000169727,0.10714500232239381
229,DRIG,2,ENSG00000110713,0.30409829095723806
230,DRIG,2,ENSG00000137955,0.751136428546615
231,DRIG,2,ENSG00000142731,0.6746739366970758
232,DRIG,2,ENSG00000189091,0.11184270072578278
233,DRIG,2,ENSG00000111581,0.312937177607633
234,DRIG,2,ENSG00000198952,0.12145435605184585
235,DRIG,2,ENSG00000156603,0.7072961572892429
236,DRIG,2,ENSG00000108424,0.37513271848144636
237,DRIG,2,ENSG00000105258,0.30387157022499345
238,DRIG,2,ENSG00000119414,0.13412349295409434
239,DRIG,2,ENSG00000163754,0.0948047758836147
240,DRIG,2,ENSG00000112118,0.16208107834407548
241,DRIG,2,ENSG00000113141,0.32934080006695204
242,DRIG,2,ENSG00000108064,0.38615980558835
243,DRIG,2,ENSG00000198258,0.4877699516230184
