lambda,test_crps
3.0,0.2578188225626945
3.0,0.2640857458114624
3.0,0.2211472868919372
3.0,0.2807892441749572
3.0,0.3251385271549225
3.0,0.1893937975168228
3.0,0.5078805834054947
3.0,0.191009758412838
3.0,0.3012090444564819
3.0,0.3925676733255386
3.0,0.2205253705382347
3.0,0.2924467533826828
3.0,0.1790593013167381
3.0,0.3841193616390228
3.0,0.5061408072710037
3.0,0.2071243301033973
3.0,0.5351011872291564
3.0,0.4210543274879456
3.0,0.1846919685602188
3.0,0.3637490540742874
3.0,0.5158218562602996
3.0,0.1997401997447014
3.0,0.2541337519884109
3.0,0.2304423674941063
3.0,0.1925348415970802
3.0,0.2671720147132873
3.0,0.2048627123236656
3.0,0.2215378850698471
3.0,0.1894438222050666
3.0,0.2700352072715759
3.0,0.3464394807815552
3.0,0.5301505565643311
3.0,0.2420835077762603
3.0,0.208056677877903
3.0,0.2945064097642899
3.0,0.5641311347484589
3.0,0.3648210167884826
3.0,0.5189654707908631
3.0,0.3811666756868362
3.0,0.1891076236963272
3.0,0.2738166451454162
3.0,0.25310800075531
3.0,0.3005902916193008
3.0,0.2081316113471985
3.0,0.3042564570903778
3.0,0.2172220572829246
3.0,0.3119325309991836
4.0,0.1917827650904655
4.0,0.227785624563694
4.0,0.3364467948675155
4.0,0.2576607331633568
4.0,0.2712552100419998
4.0,0.2193309187889099
4.0,0.2700729459524155
4.0,0.3169578194618225
4.0,0.1865705713629722
4.0,0.4884265094995498
4.0,0.2012267023324966
4.0,0.2769796103239059
4.0,0.3952568411827087
4.0,0.2315940573811531
4.0,0.2965797245502471
4.0,0.1767508625984191
4.0,0.379163521528244
4.0,0.4990046143531799
4.0,0.2008611068129539
4.0,0.5204240262508393
4.0,0.4024433076381683
4.0,0.1814690232276916
4.0,0.3655527532100677
4.0,0.5158169895410538
4.0,0.1972007513046264
4.0,0.2648350894451141
4.0,0.2319450840353965
4.0,0.1952937811613083
4.0,0.2644530236721039
4.0,0.2028996646404266
4.0,0.2265850692987442
4.0,0.1937873691320419
4.0,0.2712285667657852
4.0,0.3513208925724029
4.0,0.5280652672052384
4.0,0.2466565921902656
4.0,0.2158302441239357
4.0,0.2904241919517517
4.0,0.5520325660705566
4.0,0.3698090463876724
4.0,0.4860158562660217
4.0,0.3806255161762237
4.0,0.1919153526425361
4.0,0.2684348449110985
4.0,0.2689762949943542
4.0,0.3073577523231506
4.0,0.2108085587620735
4.0,0.2898529797792434
4.0,0.220817431807518
4.0,0.3148475795984268
5.0,0.1873967066407203
5.0,0.2112046524882316
5.0,0.3437506735324859
5.0,0.2679672122001648
5.0,0.2749904423952102
5.0,0.2130718350410461
5.0,0.2769389659166336
5.0,0.3270229965448379
5.0,0.1962565869092941
5.0,0.4956270545721054
5.0,0.2069322884082794
5.0,0.3018469750881195
5.0,0.3834756761789322
5.0,0.2318601354956627
5.0,0.3148371696472168
5.0,0.1768053323030471
5.0,0.3645349621772766
5.0,0.4886989891529083
5.0,0.2084497287869453
5.0,0.5097904086112977
5.0,0.4163945257663727
5.0,0.1920063287019729
5.0,0.3569616824388504
5.0,0.5075594276189804
5.0,0.2013453289866447
5.0,0.262255510687828
5.0,0.23750971108675
5.0,0.1919418171048164
5.0,0.2604131132364273
5.0,0.2011251270771026
5.0,0.2269794657826423
5.0,0.196344569325447
5.0,0.2839222520589828
5.0,0.3344516336917877
5.0,0.5278783053159714
5.0,0.2419546976685524
5.0,0.2171567022800445
5.0,0.3119196087121964
5.0,0.5548607289791108
5.0,0.3608665406703949
5.0,0.5069006741046905
5.0,0.3761913776397705
5.0,0.1891446188092231
5.0,0.2697167709469795
5.0,0.2533564299345016
5.0,0.3104116648435592
5.0,0.2286377772688865
5.0,0.3032956898212433
5.0,0.2132748037576675
5.0,0.3091313779354095
6.0,0.1831392750144004
6.0,0.220790521800518
6.0,0.3282840311527252
6.0,0.2575266733765602
6.0,0.2833391189575195
6.0,0.2161163926124572
6.0,0.2689032614231109
6.0,0.3243571013212204
6.0,0.1901090770959854
6.0,0.4878380596637726
6.0,0.2073948174715042
6.0,0.2825461357831955
6.0,0.3924870759248733
6.0,0.2265042945742607
6.0,0.2991955280303955
6.0,0.1824582651257515
6.0,0.3744296699762344
6.0,0.5042895525693893
6.0,0.2026877164840698
6.0,0.506483456492424
6.0,0.4308853060007095
6.0,0.1844664111733436
6.0,0.3653835594654083
6.0,0.5074893236160278
6.0,0.199781759083271
6.0,0.2731608062982559
6.0,0.2362592458724975
6.0,0.1900266453623771
6.0,0.2625551983714104
6.0,0.213419608771801
6.0,0.2265486598014831
6.0,0.1930376127362251
6.0,0.2671575665473938
6.0,0.3378649830818176
6.0,0.5269490331411362
6.0,0.2579416573047638
6.0,0.2108022108674049
6.0,0.303474885225296
6.0,0.5512300133705139
6.0,0.3592150121927261
6.0,0.4645257234573364
6.0,0.3705704182386398
6.0,0.1904389962553977
6.0,0.2702437937259674
6.0,0.2338700205087661
6.0,0.3026775568723678
6.0,0.2223444327712059
6.0,0.3006328701972961
6.0,0.2234266728162765
6.0,0.3082804679870605
7.0,0.195462329685688
7.0,0.2326397851109504
7.0,0.327083158493042
7.0,0.2529632061719894
7.0,0.2714293122291565
7.0,0.223313607275486
7.0,0.2828755110502243
7.0,0.3116725325584412
7.0,0.188349412381649
7.0,0.4803565472364425
7.0,0.2069620907306671
7.0,0.2874778300523758
7.0,0.3843980491161346
7.0,0.2211646452546119
7.0,0.2904866099357605
7.0,0.1801605269312858
7.0,0.368710657954216
7.0,0.4958527386188507
7.0,0.2034868761897087
