,method,gamma,interv_gene,test_mse
137,DRIG,1,ENSG00000105258,0.14373932022918642
138,DRIG,1,ENSG00000119414,0.11673396354248065
139,DRIG,1,ENSG00000163754,0.10797371288057006
140,DRIG,1,ENSG00000112118,0.10103983955705348
141,DRIG,1,ENSG00000113141,0.18384286617373177
142,DRIG,1,ENSG00000108064,0.4301462398197039
143,DRIG,1,ENSG00000198258,0.6986006697958123
144,DRIG,1,ENSG00000197780,0.09991679209669066
145,DRIG,1,ENSG00000083896,0.14254973978019703
146,DRIG,1,ENSG00000183479,0.7470959539545499
147,DRIG,1,ENSG00000197111,0.16335118206321778
148,DRIG,1,ENSG00000144034,0.7170673041785246
149,DRIG,1,ENSG00000268043,0.28434207614434215
150,anchor regression,1,ENSG00000205609,0.16199186284299896
151,anchor regression,1,ENSG00000205571,0.11047384271498052
152,anchor regression,1,ENSG00000100804,0.2612858529146791
153,anchor regression,1,ENSG00000204152,0.5076795655559163
154,anchor regression,1,ENSG00000168538,0.26280605796797035
155,anchor regression,1,ENSG00000197734,0.11064313953287976
156,anchor regression,1,ENSG00000152253,0.40266025612759276
157,anchor regression,1,ENSG00000106263,0.10062948828959156
158,anchor regression,1,ENSG00000120948,0.1745614838140347
159,anchor regression,1,ENSG00000169750,0.2879241073793403
160,anchor regression,1,ENSG00000119718,0.38121253051948895
161,anchor regression,1,ENSG00000105618,0.3279864197536449
162,anchor regression,1,ENSG00000145191,0.34420188509357735
163,anchor regression,1,ENSG00000072756,0.47421586568449237
164,anchor regression,1,ENSG00000070785,0.12250612774253872
165,anchor regression,1,ENSG00000160075,0.3047767067848752
166,anchor regression,1,ENSG00000075856,0.5580489704592705
167,anchor regression,1,ENSG00000131931,0.769413747092328
168,anchor regression,1,ENSG00000174243,0.11458988601232817
169,anchor regression,1,ENSG00000117360,0.09428285606037969
170,anchor regression,1,ENSG00000100949,0.15603391768807467
171,anchor regression,1,ENSG00000175792,0.7816739845022191
172,anchor regression,1,ENSG00000181029,0.27238203526038407
173,anchor regression,1,ENSG00000146007,0.09294968765307425
174,anchor regression,1,ENSG00000124207,0.8047448900883004
175,anchor regression,1,ENSG00000174780,0.1303567875907599
176,anchor regression,1,ENSG00000197265,0.5529814453801061
177,anchor regression,1,ENSG00000182446,0.2713614744273217
178,anchor regression,1,ENSG00000169727,0.1794619813415023
179,anchor regression,1,ENSG00000110713,0.15521843565108454
180,anchor regression,1,ENSG00000137955,0.2650219102783018
181,anchor regression,1,ENSG00000142731,0.8471637043680864
182,anchor regression,1,ENSG00000189091,0.5390579258394175
183,anchor regression,1,ENSG00000111581,0.33700160260336726
184,anchor regression,1,ENSG00000198952,0.13239110821128017
185,anchor regression,1,ENSG00000156603,0.3502828886201876
186,anchor regression,1,ENSG00000108424,0.3501292852338764
187,anchor regression,1,ENSG00000105258,0.14373932022918642
188,anchor regression,1,ENSG00000119414,0.11673396354248065
189,anchor regression,1,ENSG00000163754,0.10797371288057006
190,anchor regression,1,ENSG00000112118,0.10103983955705348
191,anchor regression,1,ENSG00000113141,0.18384286617373177
192,anchor regression,1,ENSG00000108064,0.4301462398197039
193,anchor regression,1,ENSG00000198258,0.6986006697958123
194,anchor regression,1,ENSG00000197780,0.09991679209669066
195,anchor regression,1,ENSG00000083896,0.14254973978019703
196,anchor regression,1,ENSG00000183479,0.7470959539545499
197,anchor regression,1,ENSG00000197111,0.16335118206321778
198,anchor regression,1,ENSG00000144034,0.7170673041785246
199,anchor regression,1,ENSG00000268043,0.28434207614434215
200,DRIG,2,ENSG00000205609,0.1660311496606168
201,DRIG,2,ENSG00000205571,0.11141784584248966
202,DRIG,2,ENSG00000100804,0.27010261782919537
203,DRIG,2,ENSG00000204152,0.477472638609043
204,DRIG,2,ENSG00000168538,0.24036893983123378
205,DRIG,2,ENSG00000197734,0.1117995780152486
206,DRIG,2,ENSG00000152253,0.3860883961633046
207,DRIG,2,ENSG00000106263,0.10230749277343794
208,DRIG,2,ENSG00000120948,0.17465987677555697
209,DRIG,2,ENSG00000169750,0.25654577609007145
210,DRIG,2,ENSG00000119718,0.38129600877308817
211,DRIG,2,ENSG00000105618,0.3185143982423573
212,DRIG,2,ENSG00000145191,0.3407610010783609
213,DRIG,2,ENSG00000072756,0.4591387082775555
214,DRIG,2,ENSG00000070785,0.12213549990706132
215,DRIG,2,ENSG00000160075,0.3076640910065629
216,DRIG,2,ENSG00000075856,0.5401487613443273
217,DRIG,2,ENSG00000131931,0.7510570045751127
218,DRIG,2,ENSG00000174243,0.11250478416501725
219,DRIG,2,ENSG00000117360,0.09487515950825605
220,DRIG,2,ENSG00000100949,0.15095780139348955
221,DRIG,2,ENSG00000175792,0.7404279128997189
222,DRIG,2,ENSG00000181029,0.24252545475820175
223,DRIG,2,ENSG00000146007,0.09368688827888758
224,DRIG,2,ENSG00000124207,0.7626664991410675
225,DRIG,2,ENSG00000174780,0.13128851168326394
226,DRIG,2,ENSG00000197265,0.5326755450601666
227,DRIG,2,ENSG00000182446,0.2503966133857251
228,DRIG,2,ENSG00000169727,0.1805716735840589
229,DRIG,2,ENSG00000110713,0.1572365830303663
230,DRIG,2,ENSG00000137955,0.26588119651272346
231,DRIG,2,ENSG00000142731,0.740644316391506
232,DRIG,2,ENSG00000189091,0.5023613534774327
233,DRIG,2,ENSG00000111581,0.3291015745682797
234,DRIG,2,ENSG00000198952,0.13192470941784026
235,DRIG,2,ENSG00000156603,0.3157359972671066
236,DRIG,2,ENSG00000108424,0.3238967201221411
237,DRIG,2,ENSG00000105258,0.14506065471036464
238,DRIG,2,ENSG00000119414,0.1161514252320351
239,DRIG,2,ENSG00000163754,0.1059155443762912
240,DRIG,2,ENSG00000112118,0.10598497468259835
241,DRIG,2,ENSG00000113141,0.187643588604258
242,DRIG,2,ENSG00000108064,0.39899780441207744
243,DRIG,2,ENSG00000198258,0.6715628905414797
244,DRIG,2,ENSG00000197780,0.10125026145129129
245,DRIG,2,ENSG00000083896,0.13621276865027998
246,DRIG,2,ENSG00000183479,0.7135469978815209
247,DRIG,2,ENSG00000197111,0.16352067773629964
248,DRIG,2,ENSG00000144034,0.6860303344563147
249,DRIG,2,ENSG00000268043,0.27650949339675823
250,anchor regression,2,ENSG00000205609,0.16656839027110515
251,anchor regression,2,ENSG00000205571,0.11156992735593722
252,anchor regression,2,ENSG00000100804,0.2688710679637213
253,anchor regression,2,ENSG00000204152,0.4790591730563489
254,anchor regression,2,ENSG00000168538,0.2406505952573193
255,anchor regression,2,ENSG00000197734,0.11269698616161695
256,anchor regression,2,ENSG00000152253,0.3898187770375814
257,anchor regression,2,ENSG00000106263,0.10233489911041693
258,anchor regression,2,ENSG00000120948,0.17472430534341854
259,anchor regression,2,ENSG00000169750,0.2570291910095743
260,anchor regression,2,ENSG00000119718,0.3856949932705775
261,anchor regression,2,ENSG00000105618,0.3241936682730958
262,anchor regression,2,ENSG00000145191,0.34194800479944637
263,anchor regression,2,ENSG00000072756,0.463276538493233
264,anchor regression,2,ENSG00000070785,0.12137915984361658
265,anchor regression,2,ENSG00000160075,0.3161115116913604
266,anchor regression,2,ENSG00000075856,0.5526307954186203
267,anchor regression,2,ENSG00000131931,0.7567030159750386
268,anchor regression,2,ENSG00000174243,0.11317146947589489
269,anchor regression,2,ENSG00000117360,0.09524436042409852
270,anchor regression,2,ENSG00000100949,0.1529018466502101
271,anchor regression,2,ENSG00000175792,0.7482604827276111
272,anchor regression,2,ENSG00000181029,0.24216352904535376
273,anchor regression,2,ENSG00000146007,0.0937569065050758
274,anchor regression,2,ENSG00000124207,0.7694388356022878
275,anchor regression,2,ENSG00000174780,0.1310760839583333
276,anchor regression,2,ENSG00000197265,0.5401087255070836
277,anchor regression,2,ENSG00000182446,0.2506285480365198
278,anchor regression,2,ENSG00000169727,0.18392581233460664
279,anchor regression,2,ENSG00000110713,0.15667363880032015
280,anchor regression,2,ENSG00000137955,0.27292699941622933
281,anchor regression,2,ENSG00000142731,0.7360404488434531
282,anchor regression,2,ENSG00000189091,0.4953888233928195
283,anchor regression,2,ENSG00000111581,0.3303426527866186
284,anchor regression,2,ENSG00000198952,0.1322114026420649
285,anchor regression,2,ENSG00000156603,0.3136733295456341
286,anchor regression,2,ENSG00000108424,0.3308113226373072
287,anchor regression,2,ENSG00000105258,0.14445994594380285
288,anchor regression,2,ENSG00000119414,0.11635597594454536
289,anchor regression,2,ENSG00000163754,0.10500508484732236
290,anchor regression,2,ENSG00000112118,0.10550673233543954
291,anchor regression,2,ENSG00000113141,0.18652042145064224
292,anchor regression,2,ENSG00000108064,0.39805315643619976
293,anchor regression,2,ENSG00000198258,0.6778473595552078
294,anchor regression,2,ENSG00000197780,0.1013840941054942
295,anchor regression,2,ENSG00000083896,0.13616305654222777
296,anchor regression,2,ENSG00000183479,0.7197820600736724
297,anchor regression,2,ENSG00000197111,0.1663995963137233
298,anchor regression,2,ENSG00000144034,0.6911383969300565
299,anchor regression,2,ENSG00000268043,0.2804025843949049
300,DRIG,3,ENSG00000205609,0.1687062883308013
301,DRIG,3,ENSG00000205571,0.11225130040672111
302,DRIG,3,ENSG00000100804,0.2755600563381416
303,DRIG,3,ENSG00000204152,0.46132281737651115
304,DRIG,3,ENSG00000168538,0.22875473664716955
305,DRIG,3,ENSG00000197734,0.11255238824612024
306,DRIG,3,ENSG00000152253,0.3764467642548489
307,DRIG,3,ENSG00000106263,0.10356992456438133
308,DRIG,3,ENSG00000120948,0.17534573882219015
309,DRIG,3,ENSG00000169750,0.24028465954305228
