lambda,test_crps
2.0,0.3678643018007278
2.0,0.5105065792798996
2.0,0.38645337522029877
2.0,0.17914097458124162
2.0,0.2816060408949852
2.0,0.25200274139642714
2.0,0.31158663630485534
2.0,0.21400412172079086
2.0,0.2930812627077103
2.0,0.21556735932826995
2.0,0.3132198601961136
3.0,0.18940601944923402
3.0,0.2252271816134453
3.0,0.32708839178085325
3.0,0.2585102364420891
3.0,0.25722899436950686
3.0,0.21344540715217591
3.0,0.2798318088054657
3.0,0.3208012133836746
3.0,0.1890454888343811
3.0,0.4958892732858658
3.0,0.20761016458272935
3.0,0.3048833221197128
3.0,0.386857607960701
3.0,0.233275930583477
3.0,0.29198744893074036
3.0,0.1809404656291008
3.0,0.3839766263961792
3.0,0.5021792232990265
3.0,0.20193444937467575
3.0,0.5131388396024704
3.0,0.403311151266098
3.0,0.18321175128221512
3.0,0.363777631521225
3.0,0.5210758984088898
3.0,0.20265215784311294
3.0,0.2600931406021118
3.0,0.23350941389799118
3.0,0.18656160980463027
3.0,0.26112701147794726
3.0,0.20262652784585952
3.0,0.2349088430404663
3.0,0.19403539299964906
3.0,0.26700289249420167
3.0,0.33962184488773345
3.0,0.5247083604335785
3.0,0.25824504196643827
3.0,0.2229324221611023
3.0,0.2923330947756767
3.0,0.5386398762464524
3.0,0.36493498384952544
3.0,0.503128170967102
3.0,0.37798925042152404
3.0,0.1784515142440796
3.0,0.26591440588235854
3.0,0.2515894934535027
3.0,0.2968150436878204
3.0,0.2059556096792221
3.0,0.30991260409355165
3.0,0.21238880902528762
3.0,0.30915733575820925
4.0,0.19183817207813264
4.0,0.22403476685285567
4.0,0.31490463614463804
4.0,0.25688519775867463
4.0,0.2733057588338852
4.0,0.2306242346763611
4.0,0.2812542200088501
4.0,0.3274718940258026
4.0,0.19237595349550246
4.0,0.4905921757221222
4.0,0.20569648444652558
4.0,0.2976998448371887
4.0,0.3941115170717239
4.0,0.23380381464958191
4.0,0.306359538435936
4.0,0.18104743510484694
4.0,0.3707790970802307
4.0,0.4987728506326675
4.0,0.21046046018600464
4.0,0.5305389732122421
4.0,0.4018281549215317
4.0,0.18680966049432754
4.0,0.3512532711029053
4.0,0.5082751661539078
4.0,0.19567591100931167
4.0,0.27225033938884735
4.0,0.2354806289076805
4.0,0.18650715053081512
4.0,0.2649624139070511
4.0,0.2110392302274704
4.0,0.2278469517827034
4.0,0.19745876491069794
4.0,0.2621820196509361
4.0,0.34631249606609343
4.0,0.5250494420528412
4.0,0.2628737360239029
4.0,0.21128081381320954
4.0,0.29676099121570587
4.0,0.5365940272808075
4.0,0.3538576543331146
4.0,0.4991839498281479
4.0,0.36230479180812836
4.0,0.1942451700568199
4.0,0.2624592274427414
4.0,0.25246337354183196
4.0,0.31388905346393586
4.0,0.20985413938760758
4.0,0.3047694742679596
4.0,0.21009674966335296
4.0,0.3116495579481125
5.0,0.1875743180513382
5.0,0.2183033660054207
5.0,0.32729863822460176
5.0,0.24802503883838653
5.0,0.27219160199165343
5.0,0.21996133029460907
5.0,0.274650040268898
5.0,0.31810698509216306
5.0,0.18139278292655944
5.0,0.4866384923458099
5.0,0.20428619533777237
5.0,0.2913223683834076
5.0,0.38734641671180725
5.0,0.22877056896686554
5.0,0.2831368684768677
5.0,0.181802462041378
5.0,0.362283980846405
5.0,0.486427441239357
5.0,0.2069772556424141
5.0,0.4906389117240906
5.0,0.4246528774499893
5.0,0.18483130931854247
5.0,0.3486603111028671
5.0,0.5016411721706391
5.0,0.20070248693227768
5.0,0.2703352987766266
5.0,0.23384230881929396
