lambda,test_mse
13,0.336445034
13,0.108525485
13,0.408333778
13,0.32329908
13,0.146709606
13,0.283954829
13,0.139271632
13,0.196701065
13,0.201421663
13,0.109294474
13,0.203571916
13,0.214306772
14,0.217507556
14,0.570632458
14,0.244404197
14,0.198038504
14,0.586970091
14,0.263778597
14,0.138040408
14,0.537192762
14,0.223024711
14,0.332387358
14,0.113372341
14,0.25091359
14,0.391637683
14,0.228247494
14,0.143706173
14,0.111761138
14,0.369880557
14,0.278288543
14,0.359911859
14,0.191239119
14,0.280020505
14,0.509705126
14,0.250975132
14,0.155944616
14,0.17689842
14,0.510578871
14,0.143528476
14,0.223567963
14,0.117252737
14,0.111637041
14,0.102473423
14,0.13376686
14,0.142902091
14,0.116941534
14,0.579205394
14,0.168768913
14,0.186917156
14,0.540504992
14,0.327643067
14,0.105286308
14,0.419633865
14,0.319933832
14,0.149343744
14,0.290731162
14,0.133168325
14,0.202811062
14,0.205227152
14,0.106402569
14,0.194462121
14,0.218233019
15,0.218113482
15,0.565236568
15,0.242462099
15,0.200748056
15,0.574618161
15,0.269668639
15,0.143289
15,0.533951581
15,0.221159935
15,0.329820961
15,0.115207799
15,0.249094769
15,0.380847782
15,0.23074694
15,0.145365596
15,0.113486208
15,0.362374157
15,0.274050236
15,0.355321705
15,0.185948968
15,0.278707683
15,0.501648426
15,0.240885183
15,0.159871042
15,0.172090471
15,0.506719768
15,0.144664526
15,0.218552813
15,0.117357627
15,0.113429517
15,0.100365378
15,0.13564235
15,0.144946516
15,0.119383134
15,0.572707057
15,0.17060639
15,0.190202102
15,0.533880413
15,0.333481371
15,0.105539203
15,0.418029219
15,0.321303755
15,0.149501592
15,0.283798873
15,0.135681733
15,0.206475854
15,0.20065558
15,0.106532149
15,0.197795674
15,0.216925189
16,0.213936627
16,0.560404658
16,0.240173444
16,0.202946603
16,0.570897877
16,0.268271625
16,0.139449656
16,0.535484374
16,0.219755456
16,0.331652164
16,0.114323191
16,0.253006399
16,0.381115645
16,0.229746953
16,0.146073714
16,0.113915309
16,0.364109159
16,0.274202406
16,0.354695797
16,0.18533954
16,0.278656274
16,0.498846978
16,0.241086423
16,0.159592122
16,0.173841611
16,0.495854378
16,0.145770028
16,0.220171899
16,0.117763482
16,0.113314927
16,0.100550205
16,0.133172274
16,0.141944453
16,0.119345322
16,0.570665836
16,0.170569688
16,0.187851757
16,0.532564521
16,0.328846842
16,0.105041996
16,0.41466248
16,0.320743024
16,0.148733914
16,0.28373152
16,0.134356648
16,0.205390066
16,0.20097129
16,0.107326731
16,0.195429146
16,0.218265295
17,0.211470529
17,0.549983561
17,0.237331957
17,0.205817908
17,0.549328446
17,0.274557531
17,0.146550313
17,0.518167019
17,0.210225224
17,0.322773159
17,0.116904393
17,0.248793066
17,0.368049473
17,0.236546963
17,0.147175044
17,0.116592191
17,0.360144526
17,0.26842913
17,0.347498149
17,0.181711704
17,0.272747159
17,0.488166422
17,0.235340834
17,0.163032681
17,0.168397039
17,0.490593523
17,0.14885731
17,0.212053016
17,0.118905753
17,0.115319774
17,0.099792413
17,0.138129056
17,0.144093946
17,0.122226775
17,0.552677214
17,0.177770615
17,0.191569597
17,0.519893944
17,0.338744789
17,0.106995277
17,0.406232238
17,0.322497278
17,0.148593441
17,0.278112054
17,0.139670938
17,0.199281186
17,0.199700207
17,0.109241471
17,0.202329978
17,0.215124935
18,0.221110731
18,0.571525753
18,0.245249808
18,0.201202154
18,0.569170356
18,0.266576797
18,0.139755055
18,0.53362155
18,0.220472574
18,0.336450279
18,0.113900736
18,0.251156837
18,0.384676605
18,0.228703454
18,0.144732416
18,0.111821696
18,0.366772324
18,0.27589184
18,0.358029723
18,0.187111452
18,0.283696294
18,0.509137273
18,0.243198082
18,0.157950789
18,0.175658897
18,0.508022666
18,0.144249499
18,0.218214676
18,0.116475478
18,0.113683604
18,0.101808503
18,0.134145647
18,0.143750951
18,0.118059255
18,0.57347697
18,0.174124867
18,0.184514984
18,0.53872782
18,0.330811113
18,0.104399815
18,0.422270417
18,0.321998209
18,0.151545018
18,0.282737613
18,0.133537337
18,0.208688796
18,0.201148659
18,0.10623166
18,0.191549838
18,0.222933725
19,0.213177174
19,0.549405515
19,0.235783085
19,0.206798062
19,0.540295422
19,0.274396747
19,0.146260858
19,0.512209713
19,0.211209908
19,0.321667761
19,0.116803877
19,0.246008113
