lambda,test_scrps
4,0.705502647
5,0.695679927
5,1.178950477
5,0.742956072
5,0.615380645
5,1.228545988
5,0.705096096
5,0.575428289
5,1.220783758
5,0.737149906
5,0.882014042
5,0.528815877
5,0.747845256
5,0.969488388
5,0.699433148
5,0.581420088
5,0.527618322
5,0.913866377
5,0.796483368
5,0.873731315
5,0.682492054
5,0.787870783
5,1.121227968
5,0.761741936
5,0.571827835
5,0.618711627
5,1.104288971
5,0.577793241
5,0.696057743
5,0.527550164
5,0.531018925
5,0.518410042
5,0.547815371
5,0.583819634
5,0.525471717
5,1.202333236
5,0.602053851
5,0.61098792
5,1.158822858
5,0.75372721
5,0.509843394
5,0.934666306
5,0.778713119
5,0.606920505
5,0.790851313
5,0.547277313
5,0.6447559
5,0.6886177
5,0.520993522
5,0.628207642
5,0.68591845
6,0.711531329
6,1.163900113
6,0.716247749
6,0.616338807
6,1.236125875
6,0.687465048
6,0.564431107
6,1.196702266
6,0.730695695
6,0.875730193
6,0.522895318
6,0.729596949
6,0.964862055
6,0.683694261
6,0.583429235
6,0.516045767
6,0.896293032
6,0.815716749
6,0.886891997
6,0.664074796
6,0.810405898
6,1.125205517
6,0.76214779
6,0.600772852
6,0.608406076
6,1.119430363
6,0.57369557
6,0.690235901
6,0.532453716
6,0.53538177
6,0.529528156
6,0.543900752
6,0.591422719
6,0.531294054
6,1.198415649
6,0.615035242
6,0.614868343
6,1.151988697
6,0.767232829
6,0.508238435
6,0.944112611
6,0.783254272
6,0.586282283
6,0.814382064
6,0.545783454
6,0.680748928
6,0.68635968
6,0.522131217
6,0.607059997
6,0.704755574
7,0.689575493
7,1.177432466
7,0.755970234
7,0.622828561
7,1.229327786
7,0.711326212
7,0.559816802
7,1.102570605
7,0.714942759
7,0.856291676
7,0.530609947
7,0.745708537
7,0.975580138
7,0.676554161
7,0.568716747
7,0.539365715
7,0.899193096
7,0.800558829
7,0.872523528
7,0.694049412
7,0.787526774
7,1.081884396
7,0.746440893
7,0.563030368
7,0.658551615
7,1.159478927
7,0.5635656
7,0.693083692
7,0.540933233
7,0.526637766
7,0.53276695
7,0.56525228
7,0.571527505
7,0.531849444
7,1.184255362
7,0.614636403
7,0.610895604
7,1.116658521
7,0.750069898
